"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1182","70.8900","71.0000",,,"3.5200","8.4261","1.3283","4.7303"
"1183","70.9500","70.0000",,,"3.5200","8.3666","1.3273","4.7338"
"1184","71.0100","50.0000",,,"3.5200","7.0711","1.3263","4.7373"
"1185","71.0700","49.0000",,,"3.5200","7.0000","1.3254","4.7407"
"1186","71.1300","31.0000",,,"3.5200","5.5678","1.3244","4.7442"
"1187","71.1900","35.0000",,,"3.5200","5.9161","1.3234","4.7477"
"1188","71.2500","52.0000",,,"3.5200","7.2111","1.3225","4.7512"
"1189","71.3100","33.0000",,,"3.5200","5.7446","1.3215","4.7546"
"1190","71.3700","45.0000",,,"3.5200","6.7082","1.3205","4.7581"
"1191","71.4300","45.0000",,,"3.5200","6.7082","1.3196","4.7616"
"1192","71.4900","53.0000",,,"3.5200","7.2801","1.3186","4.7650"
"1193","71.5500","42.0000",,,"3.5200","6.4807","1.3176","4.7685"
"1194","71.6100","43.0000",,,"3.5200","6.5574","1.3167","4.7720"
"1195","71.6700","38.0000",,,"3.5200","6.1644","1.3157","4.7754"
"1196","71.7300","38.0000",,,"3.5200","6.1644","1.3148","4.7789"
"1197","71.7900","42.0000",,,"3.5200","6.4807","1.3138","4.7824"
"1198","71.8500","47.0000",,,"3.5200","6.8557","1.3129","4.7858"
"1199","71.9100","48.0000",,,"3.5200","6.9282","1.3119","4.7893"
"1200","71.9700","46.0000",,,"3.5200","6.7823","1.3110","4.7927"
"1201","72.0300","36.0000",,,"3.5200","6.0000","1.3100","4.7962"
"1202","72.0900","46.0000",,,"3.5200","6.7823","1.3091","4.7996"
"1203","72.1500","44.0000",,,"3.5200","6.6332","1.3082","4.8031"
"1204","72.2100","41.0000",,,"3.5200","6.4031","1.3072","4.8065"
"1205","72.2700","45.0000",,,"3.5200","6.7082","1.3063","4.8100"
"1206","72.3300","34.0000",,,"3.5200","5.8310","1.3053","4.8134"
"1207","72.3900","50.0000",,,"3.5200","7.0711","1.3044","4.8169"
"1208","72.4500","37.0000",,,"3.5200","6.0828","1.3035","4.8203"
"1209","72.5100","34.0000",,,"3.5200","5.8310","1.3025","4.8238"
"1210","72.5700","39.0000",,,"3.5200","6.2450","1.3016","4.8272"
"1211","72.6300","49.0000",,,"3.5200","7.0000","1.3007","4.8307"
"1212","72.6900","56.0000",,,"3.5200","7.4833","1.2998","4.8341"
"1213","72.7500","51.0000",,,"3.5200","7.1414","1.2988","4.8375"
"1214","72.8100","45.0000",,,"3.5200","6.7082","1.2979","4.8410"
"1215","72.8700","40.0000",,,"3.5200","6.3246","1.2970","4.8444"
"1216","72.9300","53.0000",,,"3.5200","7.2801","1.2961","4.8479"
"1217","72.9900","49.0000",,,"3.5200","7.0000","1.2952","4.8513"
"1218","73.0500","47.0000",,,"3.5200","6.8557","1.2942","4.8547"
"1219","73.1100","41.0000",,,"3.5200","6.4031","1.2933","4.8582"
"1220","73.1700","38.0000",,,"3.5200","6.1644","1.2924","4.8616"
"1221","73.2300","45.0000",,,"3.5200","6.7082","1.2915","4.8650"
"1222","73.2900","40.0000",,,"3.5200","6.3246","1.2906","4.8684"
"1223","73.3500","45.0000",,,"3.5200","6.7082","1.2897","4.8719"
"1224","73.4100","37.0000",,,"3.5200","6.0828","1.2888","4.8753"
"1225","73.4700","45.0000",,,"3.5200","6.7082","1.2879","4.8787"
"1226","73.5300","34.0000",,,"3.5200","5.8310","1.2870","4.8821"
"1227","73.5900","43.0000",,,"3.5200","6.5574","1.2861","4.8856"
"1228","73.6500","46.0000",,,"3.5200","6.7823","1.2852","4.8890"
"1229","73.7100","48.0000",,,"3.5200","6.9282","1.2843","4.8924"
"1230","73.7700","48.0000",,,"3.5200","6.9282","1.2834","4.8958"
"1231","73.8300","33.0000",,,"3.5200","5.7446","1.2825","4.8992"
"1232","73.8900","49.0000",,,"3.5200","7.0000","1.2816","4.9026"
"1233","73.9500","37.0000",,,"3.5200","6.0828","1.2807","4.9061"
"1234","74.0100","50.0000",,,"3.5200","7.0711","1.2798","4.9095"
"1235","74.0700","42.0000",,,"3.5200","6.4807","1.2789","4.9129"
"1236","74.1300","33.0000",,,"3.5200","5.7446","1.2780","4.9163"
"1237","74.1900","44.0000",,,"3.5200","6.6332","1.2772","4.9197"
"1238","74.2500","43.0000",,,"3.5200","6.5574","1.2763","4.9231"
"1239","74.3100","29.0000",,,"3.5200","5.3852","1.2754","4.9265"
"1240","74.3700","34.0000",,,"3.5200","5.8310","1.2745","4.9299"
"1241","74.4300","44.0000",,,"3.5200","6.6332","1.2736","4.9333"
"1242","74.4900","40.0000",,,"3.5200","6.3246","1.2727","4.9367"
"1243","74.5500","36.0000",,,"3.5200","6.0000","1.2719","4.9401"
"1244","74.6100","42.0000",,,"3.5200","6.4807","1.2710","4.9435"
"1245","74.6700","43.0000",,,"3.5200","6.5574","1.2701","4.9469"
"1246","74.7300","43.0000",,,"3.5200","6.5574","1.2693","4.9503"
"1247","74.7900","42.0000",,,"3.5200","6.4807","1.2684","4.9537"
"1248","74.8500","46.0000",,,"3.5200","6.7823","1.2675","4.9571"
"1249","74.9100","40.0000",,,"3.5200","6.3246","1.2667","4.9605"
"1250","74.9700","46.0000",,,"3.5200","6.7823","1.2658","4.9639"
"1251","75.0300","39.0000",,,"3.5200","6.2450","1.2649","4.9672"
"1252","75.0900","44.0000",,,"3.5200","6.6332","1.2641","4.9706"
"1253","75.1500","58.0000",,,"3.5200","7.6158","1.2632","4.9740"
"1254","75.2100","51.0000",,,"3.5200","7.1414","1.2623","4.9774"
"1255","75.2700","39.0000",,,"3.5200","6.2450","1.2615","4.9808"
"1256","75.3300","38.0000",,,"3.5200","6.1644","1.2606","4.9842"
"1257","75.3900","35.0000",,,"3.5200","5.9161","1.2598","4.9875"
"1258","75.4500","48.0000",,,"3.5200","6.9282","1.2589","4.9909"
"1259","75.5100","48.0000",,,"3.5200","6.9282","1.2581","4.9943"
"1260","75.5700","38.0000",,,"3.5200","6.1644","1.2572","4.9977"
"1261","75.6300","45.0000",,,"3.5200","6.7082","1.2564","5.0011"
"1262","75.6900","38.0000",,,"3.5200","6.1644","1.2555","5.0044"
"1263","75.7500","48.0000",,,"3.5200","6.9282","1.2547","5.0078"
"1264","75.8100","46.0000",,,"3.5200","6.7823","1.2538","5.0112"
"1265","75.8700","47.0000",,,"3.5200","6.8557","1.2530","5.0145"
"1266","75.9300","39.0000",,,"3.5200","6.2450","1.2522","5.0179"
"1267","75.9900","29.0000",,,"3.5200","5.3852","1.2513","5.0213"
"1268","76.0500","35.0000",,,"3.5200","5.9161","1.2505","5.0246"
"1269","76.1100","44.0000",,,"3.5200","6.6332","1.2496","5.0280"
"1270","76.1700","38.0000",,,"3.5200","6.1644","1.2488","5.0314"
"1271","76.2300","40.0000",,,"3.5200","6.3246","1.2480","5.0347"
"1272","76.2900","26.0000",,,"3.5200","5.0990","1.2471","5.0381"
"1273","76.3500","34.0000",,,"3.5200","5.8310","1.2463","5.0414"
"1274","76.4100","39.0000",,,"3.5200","6.2450","1.2455","5.0448"
"1275","76.4700","57.0000",,,"3.5200","7.5498","1.2446","5.0482"
"1276","76.5300","45.0000",,,"3.5200","6.7082","1.2438","5.0515"
"1277","76.5900","36.0000",,,"3.5200","6.0000","1.2430","5.0549"
"1278","76.6500","53.0000",,,"3.5200","7.2801","1.2422","5.0582"
"1279","76.7100","53.0000",,,"3.5200","7.2801","1.2414","5.0616"
"1280","76.7700","44.0000",,,"3.5200","6.6332","1.2405","5.0649"
"1281","76.8300","47.0000",,,"3.5200","6.8557","1.2397","5.0683"
"1282","76.8900","48.0000",,,"3.5200","6.9282","1.2389","5.0716"
"1283","76.9500","37.0000",,,"3.5200","6.0828","1.2381","5.0749"
"1284","77.0100","42.0000",,,"3.5200","6.4807","1.2373","5.0783"
"1285","77.0700","48.0000",,,"3.5200","6.9282","1.2364","5.0816"
"1286","77.1300","41.0000",,,"3.5200","6.4031","1.2356","5.0850"
"1287","77.1900","28.0000",,,"3.5200","5.2915","1.2348","5.0883"
"1288","77.2500","42.0000",,,"3.5200","6.4807","1.2340","5.0917"
"1289","77.3100","39.0000",,,"3.5200","6.2450","1.2332","5.0950"
