"No.","Pos. [°2θ]","Intensity [Counts]","Icalc [cts]","Iback [cts]","CT [s]","ESD","D spacings","Q [1/Å]"
"1535","122.7600","179.0000",,,"3.5200","13.3791","0.8775","7.1602"
"1536","122.8400","228.0000",,,"3.5200","15.0997","0.8772","7.1629"
"1537","122.9200","205.0000",,,"3.5200","14.3178","0.8769","7.1656"
"1538","123.0000","200.0000",,,"3.5200","14.1421","0.8765","7.1683"
"1539","123.0800","206.0000",,,"3.5200","14.3527","0.8762","7.1711"
"1540","123.1600","218.0000",,,"3.5200","14.7648","0.8759","7.1738"
"1541","123.2400","230.0000",,,"3.5200","15.1658","0.8755","7.1765"
"1542","123.3200","200.0000",,,"3.5200","14.1421","0.8752","7.1792"
"1543","123.4000","218.0000",,,"3.5200","14.7648","0.8749","7.1819"
"1544","123.4800","216.0000",,,"3.5200","14.6969","0.8745","7.1846"
"1545","123.5600","249.0000",,,"3.5200","15.7797","0.8742","7.1873"
"1546","123.6400","211.0000",,,"3.5200","14.5258","0.8739","7.1900"
"1547","123.7200","206.0000",,,"3.5200","14.3527","0.8736","7.1927"
"1548","123.8000","229.0000",,,"3.5200","15.1327","0.8732","7.1953"
"1549","123.8800","242.0000",,,"3.5200","15.5563","0.8729","7.1980"
"1550","123.9600","200.0000",,,"3.5200","14.1421","0.8726","7.2007"
"1551","124.0400","228.0000",,,"3.5200","15.0997","0.8723","7.2034"
"1552","124.1200","231.0000",,,"3.5200","15.1987","0.8719","7.2060"
"1553","124.2000","179.0000",,,"3.5200","13.3791","0.8716","7.2087"
"1554","124.2800","205.0000",,,"3.5200","14.3178","0.8713","7.2114"
"1555","124.3600","249.0000",,,"3.5200","15.7797","0.8710","7.2140"
"1556","124.4400","215.0000",,,"3.5200","14.6629","0.8706","7.2167"
"1557","124.5200","221.0000",,,"3.5200","14.8661","0.8703","7.2193"
"1558","124.6000","206.0000",,,"3.5200","14.3527","0.8700","7.2220"
"1559","124.6800","213.0000",,,"3.5200","14.5945","0.8697","7.2246"
"1560","124.7600","257.0000",,,"3.5200","16.0312","0.8694","7.2273"
"1561","124.8400","233.0000",,,"3.5200","15.2643","0.8691","7.2299"
"1562","124.9200","245.0000",,,"3.5200","15.6525","0.8687","7.2326"
"1563","125.0000","223.0000",,,"3.5200","14.9332","0.8684","7.2352"
"1564","125.0800","202.0000",,,"3.5200","14.2127","0.8681","7.2378"
"1565","125.1600","206.0000",,,"3.5200","14.3527","0.8678","7.2404"
"1566","125.2400","215.0000",,,"3.5200","14.6629","0.8675","7.2431"
"1567","125.3200","224.0000",,,"3.5200","14.9666","0.8672","7.2457"
"1568","125.4000","240.0000",,,"3.5200","15.4919","0.8669","7.2483"
"1569","125.4800","211.0000",,,"3.5200","14.5258","0.8665","7.2509"
"1570","125.5600","239.0000",,,"3.5200","15.4596","0.8662","7.2535"
"1571","125.6400","252.0000",,,"3.5200","15.8745","0.8659","7.2561"
"1572","125.7200","249.0000",,,"3.5200","15.7797","0.8656","7.2587"
"1573","125.8000","229.0000",,,"3.5200","15.1327","0.8653","7.2613"
"1574","125.8800","195.0000",,,"3.5200","13.9642","0.8650","7.2639"
"1575","125.9600","231.0000",,,"3.5200","15.1987","0.8647","7.2665"
"1576","126.0400","249.0000",,,"3.5200","15.7797","0.8644","7.2691"
"1577","126.1200","209.0000",,,"3.5200","14.4568","0.8641","7.2716"
"1578","126.2000","232.0000",,,"3.5200","15.2315","0.8638","7.2742"
"1579","126.2800","207.0000",,,"3.5200","14.3875","0.8635","7.2768"
"1580","126.3600","255.0000",,,"3.5200","15.9687","0.8631","7.2794"
"1581","126.4400","232.0000",,,"3.5200","15.2315","0.8628","7.2819"
"1582","126.5200","228.0000",,,"3.5200","15.0997","0.8625","7.2845"
"1583","126.6000","237.0000",,,"3.5200","15.3948","0.8622","7.2871"
"1584","126.6800","206.0000",,,"3.5200","14.3527","0.8619","7.2896"
"1585","126.7600","260.0000",,,"3.5200","16.1245","0.8616","7.2922"
"1586","126.8400","248.0000",,,"3.5200","15.7480","0.8613","7.2947"
"1587","126.9200","219.0000",,,"3.5200","14.7986","0.8610","7.2973"
"1588","127.0000","256.0000",,,"3.5200","16.0000","0.8607","7.2998"
"1589","127.0800","232.0000",,,"3.5200","15.2315","0.8604","7.3024"
"1590","127.1600","244.0000",,,"3.5200","15.6205","0.8601","7.3049"
"1591","127.2400","244.0000",,,"3.5200","15.6205","0.8598","7.3074"
"1592","127.3200","267.0000",,,"3.5200","16.3401","0.8595","7.3099"
"1593","127.4000","235.0000",,,"3.5200","15.3297","0.8592","7.3125"
"1594","127.4800","253.0000",,,"3.5200","15.9060","0.8589","7.3150"
"1595","127.5600","264.0000",,,"3.5200","16.2481","0.8587","7.3175"
"1596","127.6400","298.0000",,,"3.5200","17.2627","0.8584","7.3200"
"1597","127.7200","261.0000",,,"3.5200","16.1555","0.8581","7.3225"
"1598","127.8000","264.0000",,,"3.5200","16.2481","0.8578","7.3250"
"1599","127.8800","237.0000",,,"3.5200","15.3948","0.8575","7.3275"
"1600","127.9600","256.0000",,,"3.5200","16.0000","0.8572","7.3300"
"1601","128.0400","233.0000",,,"3.5200","15.2643","0.8569","7.3325"
"1602","128.1200","240.0000",,,"3.5200","15.4919","0.8566","7.3350"
"1603","128.2000","221.0000",,,"3.5200","14.8661","0.8563","7.3375"
"1604","128.2800","241.0000",,,"3.5200","15.5242","0.8560","7.3400"
"1605","128.3600","266.0000",,,"3.5200","16.3095","0.8557","7.3425"
"1606","128.4400","245.0000",,,"3.5200","15.6525","0.8554","7.3450"
"1607","128.5200","248.0000",,,"3.5200","15.7480","0.8552","7.3474"
"1608","128.6000","239.0000",,,"3.5200","15.4596","0.8549","7.3499"
"1609","128.6800","244.0000",,,"3.5200","15.6205","0.8546","7.3524"
"1610","128.7600","229.0000",,,"3.5200","15.1327","0.8543","7.3548"
"1611","128.8400","256.0000",,,"3.5200","16.0000","0.8540","7.3573"
